53486;Nové Strašecí
53489;Chomutov
53490;Králíky zastávka
53493;Kojice
53496;Stochov
53499;Černovice u Chomutova
53500;Králíky
53503;Chvaletice
53506;Rynholec
53510;Dolní Orlice
53513;Přelouč
53516;Kladno
53519;Klášterec nad Ohří
53520;Červená Voda
53523;Lhota pod Přeloučí
53525;Červená Voda-Pod rozhlednou
53526;Kamenné Žehrovice
53529;Málkov
53530;Moravský Karlov
53533;Valy u Přelouče
53536;Kačice
53546;Kladno-Rozdělov
53549;Kadaň-Prunéřov
53556;Kladno město
53559;Hradec u Kadaně
53566;Kladno-Dubí
53569;Kadaň předměstí
53576;Kladno-Vrapice
53579;Poláky
53580;Podlesí
53589;Želina
53590;Vlaské
53599;Vilémov u Kadaně
53606;Kladno-Švermov
53609;Chotěbudice
53610;Broumov
53613;Pardubice hl. n.
53616;Kladno-Ostrovec
53619;Krásný Dvůr
53623;Pardubice-Opočínek
53626;Unhošť
53629;Pětipsy
53633;Pardubice-Svítkov
53636;Jeneč
53639;Vilémov u Kadaně město
53643;Pardubice-Pardubičky
53644;Pardubice centrum
53646;Pavlov
53649;Vitčice
53650;Broumov-Olivětín
53653;Kostěnice
53656;Hostivice
53659;Vysoké Třebušice
53663;Pardubice-Černá za Bory
53666;Hostivice-Litovice
53669;Radonice u Kadaně
53673;Moravany
53676;Hostivice-Sadová
53677;Chlumčany u Loun
53679;Kadaňský Rohozec
53683;Uhersko
53686;Hostivice-U hřbitova
53689;Ždov
53693;Zámrsk
53697;Vrbno nad Lesy
53699;Most-Kopisty
53703;Sedlíšťka
53707;Peruc
53709;Litvínov město
53710;Meziměstí
53713;Dobříkov u Chocně
53717;Telce
53719;Březno u Chomutova
53726;Klobuky v Čechách
53730;Hynčice
53736;Vrbičany
53740;Ruprechtice
53746;Páleček
53749;Hořetice
53750;Březová u Broumova
53756;Zlonice
53769;Žiželice
53770;Teplice nad Metují
53779;Žatec
53780;Česká Metuje
53789;Žatec západ
53790;Dědov
53799;Kadaň
53800;Police nad Metují
53806;Slaný
53810;Žďár nad Metují
53813;Choceň
53816;Královice u Zlonic
53819;Křimov
53820;Hronov
53823;Sruby
53826;Slaný předměstí
53829;Domina
53830;Hronov zastávka
53833;Dvořisko
53836;Podlešín
53840;Náchod
53843;Brandýs nad Orlicí
53846;Zvoleněves
53849;Křimov-Suchdol
53850;Náchod-Malé Poříčí
53851;Velké Poříčí
53856;Kamenný Most u Kralup nad Vltavou
53859;Křimov zastávka
53860;Náchod-Běloves
53863;Ústí nad Orlicí
53869;Nová Ves u Křimova
53870;Náchod zastávka
53873;Ústí nad Orlicí město
53879;Výsluní
53880;Václavice
53889;Rusová
53890;N. Město n. Met.
53899;Kovářská
53909;České Hamry
53910;Bohuslavice nad Metují
53913;Česká Třebová
53919;Kovářská městys
53920;Černčice
53923;Dlouhá Třebová
53926;Olovnice
53929;Měděnec
53930;Opočno pod Orlickými horami
53933;Třebovice v Čechách
53936;Neuměřice
53939;Měděnec zastávka
53940;Bohuslavice nad Metují zastávka
53943;Rudoltice v Čechách
53946;Kralupy nad Vltavou předměstí
53949;Vejprty
53950;Pohoří
53953;Žichlínek
53956;Zeměchy
53959;Vejprty koupaliště
53963;Krasíkov
53969;Vejprty zastávka
53973;Tatenice
53976;Koleč
53983;Hoštejn
53993;Lupěné
53996;Zákolany zastávka
54003;Luková u Rudoltic v Čechách
54004;Třebešice
54006;Noutonice
54009;Jirkov
54010;Dobruška
54014;Kutná Hora hl. n.
54016;Kováry
54019;Jirkov zastávka
54024;Hlízov
54026;Středokluky
54030;Bolehošť
54034;Církvice
54036;Tuchoměřice
54040;Očelice
54044;Čáslav
54046;Praha-Zličín
54050;Borohrádek
54054;Horky u Čáslavi
54056;Dobrovíz
54057;Straškov
54060;Žďár nad Orlicí
54061;Dobrovíz-Amazon
54066;Jeneč zastávka
54070;Čermná nad Orlicí
54074;Vrdy-Koudelov
54076;Hostouň u Prahy
54080;Újezd u Chocně
54083;Golčův Jeníkov
54089;Litvínov
54090;Plchůvky
54093;Golčův Jeníkov město
54097;Vražkov
54099;Most-Minerva
54100;Solnice
54103;Nová Ves u Leštiny
54104;Vlkaneč
54105;Solnice zastávka
54107;Mnetěš
54109;Lom u Mostu
54110;Rychnov nad Kněž.
54113;Leština u Světlé
54117;Bříza obec
54119;Osek
54120;Rychnov n.K. zast.
54123;Sázavka
54127;Roudnice nad Labem-Hracholusky
54129;Háj u Duchcova
54130;Slemeno
54133;Světlá n.S.
54137;Roudnice nad Labem město
54140;Rokytnice v Orl. horách
54143;Pohleď
54147;Kleneč
54149;Louka u Litvínova
54150;Pěčín
54153;Světlá nad Sázavou-Josefodol
54157;Mšené Lázně
54159;Lom u Mostu zastávka
54160;Vamberk
54163;Mrzkovice
54167;Charvatce
54169;Osek město
54170;Slatina nad Zdobnicí
54173;Dolní Březinka
54177;Martiněves u Libochovic
54179;Horní Háj
54180;Rybná nad Zdobnicí
54183;Světlá nad Sázavou město
54187;Vrbka
54189;Hrob
54190;Peklo nad Zdobnicí
54193;Okrouhlice
54197;Budyně nad Ohří
54199;Střelná v Krušných horách
54203;Havlíčkův Brod-Perknov
54207;Břežany nad Ohří
54209;Dubí
54212;Liberec
54213;Havlíčkův Brod
54217;Žabovřesky nad Ohří
54219;Mikulov v Krušných horách
54222;Liberec-Rochlice
54223;Petrkov
54225;Luštěnice
54227;Horní Beřkovice
54229;Moldava v Krušných horách
54232;Rychnov u Jabl.n.N.
54233;Lípa
54237;Ctiněves
54239;Mikulov-Nové Město
54242;Rádlo
54243;Břevnice
54247;Kostomlaty pod Řípem
54252;Jeřmanice
54253;Pohledští Dvořáci
54257;Roudnice nad Labem
54262;Pilínkov
54263;Mírovka
54267;Dobříň
54272;Hodkovice nad Mohelkou
54273;Dolík
54277;Roudnice nad Labem-Bezděkov
54282;Sychrov
54287;Hněvice
54292;Sedlejovice
54297;Záluží
54300;Turnov
54306;Dolní Beřkovice
54309;Jílové u Děčína
54312;Doubí u Turnova
54313;Opatov
54316;Horní Počaply
54318;Jeníkov-Oldřichov
54319;Děčín-Bynov
54321;Loukov u Mnichova Hradiště
54323;Semanín
54326;Vraňany
54329;Děčín-Oldřichov
54332;Příšovice
54333;Svitavy
54336;Cítov
54339;Martiněves u Děčína
54341;Březina nad Jizerou
54343;Opatovec
54349;Libouchec
54351;Mnichovo Hradiště
54353;Svitavy zastávka
54356;Mlčechvosty
54359;Kamenec
54361;Bakov nad Jizerou
54366;Nelahozeves
54369;Modrá u Děčína
54371;Bakov nad Jizerou město
54376;Nové Ouholice
54379;Malé Chvojno
54386;Nelahozeves zámek
